rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_score,ra,dec,koi_kepmag
9084,6766748,K06764.01,,FALSE POSITIVE,0.0000,288.363620,42.248070,13.934
9085,6878408,K06786.01,,CANDIDATE,0.5560,295.932830,42.396690,15.975
9086,4651399,K07698.01,,FALSE POSITIVE,0.1030,290.700560,39.799679,15.635
9087,4742188,K07703.01,,CANDIDATE,0.2550,290.387210,39.829941,15.106
9088,4742452,K07704.01,,CANDIDATE,0.9370,290.460880,39.837212,14.829
9089,5009688,K07713.01,,FALSE POSITIVE,0.1980,291.386260,40.180260,14.943
9090,5024429,K07714.01,,FALSE POSITIVE,0.0000,295.317540,40.190639,14.943
9091,7747835,K08143.01,,FALSE POSITIVE,0.0000,290.021240,43.402161,15.193
9092,9851983,K07969.01,,FALSE POSITIVE,0.0780,299.053100,46.620392,13.401
9093,9521317,K07940.01,,CANDIDATE,0.8960,289.675080,46.131882,12.850
9094,9651155,K07955.01,,FALSE POSITIVE,0.0000,292.640630,46.388039,14.902
9095,10415227,K02562.01,,FALSE POSITIVE,0.0010,295.852660,47.503578,15.662
9096,9842937,K02567.01,,FALSE POSITIVE,0.0000,296.449010,46.623589,15.331
9097,10468885,K02589.01,Kepler-1284 b,CONFIRMED,1.0000,291.278990,47.687649,15.645
9098,8120608,K00571.04,Kepler-186 e,CONFIRMED,0.9990,298.652710,43.955021,14.625
9099,10527135,K02622.01,,FALSE POSITIVE,0.0000,288.416840,47.731091,15.316
9100,10471243,K08019.01,,FALSE POSITIVE,0.0000,292.220830,47.635689,15.529
9101,10471296,K08020.01,,FALSE POSITIVE,0.0000,292.245880,47.633430,14.644
9102,10535886,K08021.01,,FALSE POSITIVE,0.0000,292.178470,47.750751,15.446
9103,10535897,K08022.01,,FALSE POSITIVE,0.0000,292.183780,47.722832,13.793
9104,10535926,K08023.01,,FALSE POSITIVE,0.0000,292.196230,47.766590,14.920
9105,10535991,K08024.01,,FALSE POSITIVE,0.0000,292.227600,47.746262,15.767
9106,6600492,K08125.01,,FALSE POSITIVE,0.0270,290.082030,42.071129,14.728
9107,6685403,K08126.01,,FALSE POSITIVE,0.0010,289.969420,42.138859,15.596
9108,6846544,K08127.01,,FALSE POSITIVE,0.0400,286.081360,42.305740,12.968
9109,6848529,K08128.01,,FALSE POSITIVE,0.0110,286.918880,42.306129,10.734
9110,7020168,K08131.01,,FALSE POSITIVE,0.2590,287.240510,42.573139,13.499
9111,12012872,K08233.01,,FALSE POSITIVE,0.0090,291.480680,50.473660,13.686
9112,12069319,K08234.01,,FALSE POSITIVE,0.0000,295.397950,50.539268,13.451
9113,12121118,K08235.01,,FALSE POSITIVE,0.0050,296.656710,50.687210,14.116
9114,12252732,K08236.01,,FALSE POSITIVE,0.0080,288.193210,50.921619,11.446
9115,12554051,K08237.01,,FALSE POSITIVE,0.1000,288.817140,51.592911,13.888
9116,6949550,K06795.01,,FALSE POSITIVE,0.0000,292.117460,42.456280,15.144
9117,7097571,K06818.01,,FALSE POSITIVE,0.0000,284.313780,42.600914,11.267
9118,7281217,K06851.01,,FALSE POSITIVE,0.0000,291.528690,42.866970,15.644
9119,7365447,K06866.01,,FALSE POSITIVE,0.0000,292.621490,42.921970,14.340
